ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Lutheran School of Theology at Chicago","Chicago","Ill.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Lutheran Theological Seminary at Gettysburg","Gettysburg","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Lutheran Theological Seminary at Philadelphia","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Lycoming College","Williamsport","Pa.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Lynchburg College","Lynchburg","Va.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Lynchburg General Hospital School of Nursing","Lynchburg","Va.","12/31/14","2.7","Private not-for-profit, 2-year"
"Lynn U. (Fla.)","Boca Raton","Fla.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Lyon College","Batesville","Ark.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Macalester College","Saint Paul","Minn.","05/31/15","3","Private not-for-profit, 4-year or above"
"MacCormac College","Chicago","Ill.","06/30/15","2.2","Private not-for-profit, 2-year"
"Machzikei Hadath Rabbinical College","Brooklyn","N.Y.","12/31/14","2.1","Private not-for-profit, 4-year or above"
"MacMurray College","Jacksonville","Ill.","05/31/15","1.4","Private not-for-profit, 4-year or above"
"Madonna U.","Livonia","Mich.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Maharishi U. of Management","Fairfield","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Maine College of Art","Portland","Maine","06/30/15","3","Private not-for-profit, 4-year or above"
"Malone U.","Canton","Ohio","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Management Resources College","Miami Springs","Fla.","12/31/14","3","Private for-profit, 2-year"
"Manchester U.","North Manchester","Ind.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Mandl School","New York","N.Y.","12/31/14","2.8","Private for-profit, 2-year"
"Manhattan Christian College","Manhattan","Kans.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Manhattan College","Riverdale","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Manhattan School of Music","New York","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Manhattanville College","Purchase","N.Y.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Manor College","Jenkintown","Pa.","06/30/15","1.6","Private not-for-profit, 2-year"
"Manthano Christian College","Westland","Mich.","05/31/15","3","Private not-for-profit, 4-year or above"
"Maple Springs Baptist Bible College & Seminary","Capitol Heights","Md.","06/30/15","3","Private not-for-profit, 4-year or above"
"Maranatha Baptist U.","Watertown","Wis.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Maria College of Albany","Albany","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Marian U. (Ind.)","Indianapolis","Ind.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Marian U. (Wis.)","Fond Du Lac","Wis.","06/30/15","2","Private not-for-profit, 4-year or above"
"Marietta College","Marietta","Ohio","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Marist College","Poughkeepsie","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Marlboro College","Marlboro","Vt.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Marquette U.","Milwaukee","Wis.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Mars Hill U.","Mars Hill","N.C.","05/31/15","2.9","Private not-for-profit, 4-year or above"
"Marshall B. Ketchum U.","Fullerton","Calif.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Martin Luther College","New Ulm","Minn.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Martin Methodist College","Pulaski","Tenn.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Martin U.","Indianapolis","Ind.","06/30/15","1.9","Private not-for-profit, 4-year or above"
"Mary Baldwin College","Staunton","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Maryland Institute College of Art","Baltimore","Md.","05/31/15","3","Private not-for-profit, 4-year or above"
"Marylhurst U.","Marylhurst","Ore.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Marymount California U.","Rancho Palos Verdes","Calif.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Marymount Manhattan College","New York","N.Y.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Marymount U.","Arlington","Va.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Maryville College","Maryville","Tenn.","05/31/15","3","Private not-for-profit, 4-year or above"
"Maryville U. of Saint Louis","St. Louis","Mo.","05/31/15","3","Private not-for-profit, 4-year or above"
"Marywood U.","Scranton","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Massachusetts Institute of Technology","Cambridge","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Massachusetts School of Law at Andover","Andover","Mass.","07/31/14","2.4","Private not-for-profit, 4-year or above"
"Master's College and Seminary","Santa Clarita","Calif.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Mayfield College","Cathedral City","Calif.","12/31/14","1.7","Private for-profit, 2-year"
"Mayo Medical School","Rochester","Minn.","12/31/14","2.3","Private not-for-profit, 4-year or above"
"McCormick Theological Seminary","Chicago","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"McDaniel College","Westminster","Md.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"McKendree U.","Lebanon","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"McMurry U.","Abilene","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"McNally Smith College of Music","Saint Paul","Minn.","12/31/14","1.1","Private for-profit, 4-year or above"
"McPherson College","McPherson","Kans.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"MCPHS U.","Boston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Meadville/Lombard Theological School","Chicago","Ill.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Med-Tech College","Caguas","P.R.","12/31/14","2.6","Private for-profit, 2-year"
"Medaille College","Buffalo","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Medical College of Wisconsin","Milwaukee","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"MedTech Institute at Atlanta","Atlanta","Ga.","12/31/14","-1","Private for-profit, 2-year"
"Meharry Medical College","Nashville","Tenn.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Memphis College of Art","Memphis","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Memphis Theological Seminary","Memphis","Tenn.","07/31/14","2.6","Private not-for-profit, 4-year or above"
"Menlo College","Atherton","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Mercer U.","Macon","Ga.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Mercy College","Dobbs Ferry","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Mercy College of Health Sciences","Des Moines","Iowa","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Mercy College of Northwest Ohio","Toledo","Ohio","12/31/14","2.9","Private not-for-profit, 4-year or above"
"Mercyhurst U.","Erie","Pa.","05/31/15","2.1","Private not-for-profit, 4-year or above"
"Meredith College","Raleigh","N.C.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Merrimack College","North Andover","Mass.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Mesivta Keser Torah","Lakewood","N.J.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Mesivta of Eastern Parkway Rabbinical Seminary","Brooklyn","N.Y.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Mesivta Tifereth Jerusalem of America","New York","N.Y.","08/31/14","2.8","Private not-for-profit, 4-year or above"
"Mesivta Torah Vodaath Seminary","Brooklyn","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Messenger College","Euless","Tex.","06/30/15","0.9","Private not-for-profit, 4-year or above"
"Messiah College","Mechanicsburg","Pa.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Methodist Theological School in Ohio","Delaware","Ohio","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Methodist U.","Fayetteville","N.C.","06/30/15","3","Private not-for-profit, 4-year or above"
"Metro Business College at Cape Girardeau (Mo.)","Cape Girardeau","Mo.","12/31/14","1.5","Private for-profit, 2-year"
"Metropolitan Career Center Computer Technology Institute","Philadelphia","Pa.","06/30/15","2.5","Private not-for-profit, 2-year"
"Metropolitan College of New York","New York","N.Y.","12/31/14","2","Private not-for-profit, 4-year or above"
"Michigan Jewish Institute","West Bloomfield","Mich.","08/31/14","3","Private not-for-profit, 4-year or above"
"Michigan State U. College of Law","East Lansing","Mich.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Mid-America Christian U.","Oklahoma City","Okla.","05/31/15","3","Private not-for-profit, 4-year or above"
"Mid-Atlantic Christian U.","Elizabeth City","N.C.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Mid-South Christian College","Memphis","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"MidAmerica Nazarene U.","Olathe","Kans.","06/30/15","1.3","Private not-for-profit, 4-year or above"
"Middle Tennessee School of Anesthesia","Madison","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Middlebury College","Middlebury","Vt.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Midland U.","Fremont","Nebr.","05/31/15","3","Private not-for-profit, 4-year or above"
"Midstate College","Peoria","Ill.","08/31/14","2.5","Private for-profit, 4-year or above"
"Midway College","Midway","Ky.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Midwest College of Oriental Medicine (Wis.)","Racine","Wis.","12/31/14","2.5","Private for-profit, 4-year or above"
"Midwest Institute (Mo.)","Fenton","Mo.","12/31/14","3","Private for-profit, 2-year"
"Midwestern Baptist Theological Seminary","Kansas City","Mo.","07/31/14","3","Private not-for-profit, 4-year or above"
"Midwestern U. (Ill.)","Downers Grove","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"Midwives College of Utah","Salt Lake City","Utah","12/31/14","3","Private not-for-profit, 4-year or above"
"Miles College","Fairfield","Ala.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Millennia Atlantic U.","Doral","Fla.","12/31/14","1.8","Private for-profit, 4-year or above"
"Miller-Motte Technical College at Lynchburg (Va.)","Lynchburg","Va.","06/30/15","-1","Private for-profit, 2-year"
"Milligan College","Milligan College","Tenn.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Millikin U.","Decatur","Ill.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Mills College","Oakland","Calif.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Millsaps College","Jackson","Miss.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Milwaukee Career College","Milwaukee","Wis.","08/31/14","2.3","Private for-profit, 2-year"
"Milwaukee Institute of Art & Design","Milwaukee","Wis.","05/31/15","1.2","Private not-for-profit, 4-year or above"
"Milwaukee School of Engineering","Milwaukee","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"Minneapolis College of Art and Design","Minneapolis","Minn.","05/31/15","3","Private not-for-profit, 4-year or above"
"Minnesota School of Business at Richfield","Richfield","Minn.","12/31/14","2.2","Private for-profit, 4-year or above"
"Mirrer Yeshiva Central Institute","Brooklyn","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Misericordia U.","Dallas","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"MiSPP","Farmington Hills","Mich.","08/31/14","2.9","Private not-for-profit, 4-year or above"
"Mississippi College","Clinton","Miss.","05/31/15","2","Private not-for-profit, 4-year or above"
"Missouri Baptist U.","Saint Louis","Mo.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Missouri Valley College","Marshall","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Mitchell College","New London","Conn.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Mizpa Pentecostal U.","Rio Piedras","P.R.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Molloy College","Rockville Centre","N.Y.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Monmouth College","Monmouth","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Monmouth U.","West Long Branch","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Monroe College (N.Y.)","Bronx","N.Y.","08/31/14","2.9","Private for-profit, 4-year or above"
"Montreat College","Montreat","N.C.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Montserrat College of Art","Beverly","Mass.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Moody Bible Institute","Chicago","Ill.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Moore College of Art and Design","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Moore Tech","Memphis","Tenn.","08/31/14","3","Private not-for-profit, 2-year"
"Moravian College","Bethlehem","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Morehouse College","Atlanta","Ga.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Morehouse School of Medicine","Atlanta","Ga.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Morningside College","Sioux City","Iowa","05/31/15","3","Private not-for-profit, 4-year or above"
"Morris College","Sumter","S.C.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Morrison Institute of Technology","Morrison","Ill.","05/31/15","2.6","Private not-for-profit, 2-year"
"Morthland College","West Frankfort","Ill.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Mount Aloysius College","Cresson","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Mount Angel Seminary","Saint Benedict","Ore.","06/30/15","3","Private not-for-profit, 4-year or above"
"Mount Carmel College of Nursing","Columbus","Ohio","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Mount Holyoke College","South Hadley","Mass.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Mount Marty College","Yankton","S.D.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Mount Mary U.","Milwaukee","Wis.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Mount Mercy U.","Cedar Rapids","Iowa","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Mount Olive College","Mount Olive","N.C.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Mount Saint Mary College","Newburgh","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Mount Saint Mary's U. (Calif.)","Los Angeles","Calif.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Mount St. Mary's U. (Md.)","Emmitsburg","Md.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Mount Vernon Nazarene U.","Mount Vernon","Ohio","05/31/15","3","Private not-for-profit, 4-year or above"
"Mountain State College","Parkersburg","W.Va.","06/30/15","2.5","Private for-profit, 2-year"
"Mt. Sierra College","Monrovia","Calif.","12/31/14","2.3","Private for-profit, 4-year or above"
"MTI College (Calif.)","Sacramento","Calif.","12/31/14","3","Private for-profit, 2-year"
"Mueller College","San Diego","Calif.","12/31/14","-1","Private for-profit, 2-year"
"Muhlenberg College","Allentown","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Multnomah U.","Portland","Ore.","06/30/15","0.8","Private not-for-profit, 4-year or above"
"Musicians Institute","Hollywood","Calif.","09/30/14","1.6","Private for-profit, 4-year or above"
"Muskingum U.","New Concord","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Myotherapy Institute","Lincoln","Nebr.","12/31/14","1.6","Private for-profit, 2-year"
"Naropa U.","Boulder","Colo.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"National American U. at Rapid City (S.D.)","Rapid City","S.D.","05/31/15","3","Private for-profit, 4-year or above"
"National Career College","Panorama City","Calif.","12/31/14","2.4","Private for-profit, 2-year"
"National College of Natural Medicine","Portland","Ore.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"National Graduate School of Quality Management","Falmouth","Mass.","06/30/15","1","Private not-for-profit, 4-year or above"
"National Hispanic U.","San Jose","Calif.","12/31/14","-0.1","Private for-profit, 4-year or above"
"National Institute of Massotherapy","Akron","Ohio","12/31/14","-0.4","Private for-profit, 2-year"
"National Paralegal College","Phoenix","Ariz.","12/31/14","2.7","Private for-profit, 4-year or above"
"National U.","La Jolla","Calif.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"National U. of Health Sciences","Lombard","Ill.","08/31/14","3","Private not-for-profit, 4-year or above"
"National-Louis U.","Chicago","Ill.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Nazarene Bible College","Colorado Springs","Colo.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Nazarene Theological Seminary","Kansas City","Mo.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Nazareth College of Rochester (N.Y.)","Rochester","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Nebraska Christian College","Papillion","Nebr.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Nebraska Methodist College","Omaha","Nebr.","12/31/14","3","Private not-for-profit, 4-year or above"
"Nebraska Wesleyan U.","Lincoln","Nebr.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Ner Israel Rabbinical College","Baltimore","Md.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Neumann U.","Aston","Pa.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Neumont U.","Salt Lake City","Utah","12/31/14","3","Private for-profit, 4-year or above"
"New Brunswick Theological Seminary","New Brunswick","N.J.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"New Castle School of Trades","New Castle","Pa.","12/31/14","2.9","Private for-profit, 2-year"
"New England College","Henniker","N.H.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"New England College of Optometry","Boston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"New England Conservatory of Music","Boston","Mass.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"New England Culinary Institute","Montpelier","Vt.","05/31/15","-0.5","Private for-profit, 4-year or above"
"New England Institute of Technology","East Greenwich","R.I.","06/30/15","3","Private not-for-profit, 4-year or above"
"New England Law | Boston","Boston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"New England School of Acupuncture","Newton","Mass.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"New Hope Christian College at Eugene (Ore.)","Eugene","Ore.","06/30/15","0.8","Private not-for-profit, 4-year or above"
"New Life Theological Seminary","Charlotte","N.C.","06/30/15","1.3","Private not-for-profit, 4-year or above"
"New School","New York","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"New York Academy of Art","New York","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"New York Career Institute","New York","N.Y.","05/31/15","1.7","Private for-profit, 2-year"
"New York Chiropractic College","Seneca Falls","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"New York College of Health Professions","Syosset","N.Y.","12/31/14","3","Private not-for-profit, 4-year or above"
"New York College of Podiatric Medicine","New York","N.Y.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"New York College of Traditional Chinese Medicine","Mineola","N.Y.","12/31/14","3","Private not-for-profit, 4-year or above"
"New York Conservatory for Dramatic Arts","New York","N.Y.","12/31/14","1.3","Private for-profit, 2-year"
"New York Film Academy at Los Angeles","Burbank","Calif.","12/31/14","2.7","Private for-profit, 4-year or above"
"New York Institute of Technology at Old Westbury","Old Westbury","N.Y.","08/31/14","2.8","Private not-for-profit, 4-year or above"
"New York Law School","New York","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"New York Medical College","Valhalla","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"New York School of Interior Design","New York","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"New York Theological Seminary","New York","N.Y.","06/30/15","1.3","Private not-for-profit, 4-year or above"
"New York U.","New York","N.Y.","08/31/14","3","Private not-for-profit, 4-year or above"
"Newberry College","Newberry","S.C.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Newbury College","Brookline","Mass.","06/30/15","2","Private not-for-profit, 4-year or above"
"Newman U.","Wichita","Kans.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Niagara U.","Niagara University","N.Y.","05/31/15","2.6","Private not-for-profit, 4-year or above"
"Nichols College","Dudley","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Nightingale College","Ogden","Utah","12/31/14","2","Private for-profit, 4-year or above"
"North American U.","Stafford","Tex.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"North Carolina Wesleyan College","Rocky Mount","N.C.","05/31/15","2.3","Private not-for-profit, 4-year or above"
"North Central College","Naperville","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"North Central Institute","Clarksville","Tenn.","12/31/14","2.4","Private for-profit, 2-year"
"North Central U.","Minneapolis","Minn.","05/31/15","3","Private not-for-profit, 4-year or above"
"North Greenville U.","Tigerville","S.C.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"North Park U.","Chicago","Ill.","06/30/15","3","Private not-for-profit, 4-year or above"
"Northcentral U.","Prescott Valley","Ariz.","12/31/14","0.2","Private for-profit, 4-year or above"
"Northeastern Seminary","Rochester","N.Y.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Northeastern U.","Boston","Mass.","06/30/15","3","Private not-for-profit, 4-year or above"
"Northern Seminary","Lombard","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Northland College","Ashland","Wis.","06/30/15","2","Private not-for-profit, 4-year or above"
"Northwest Career College","Las Vegas","Nev.","12/31/14","1.5","Private for-profit, 2-year"
"Northwest Christian U.","Eugene","Ore.","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Northwest College of Art","Poulsbo","Wash.","12/31/14","2.8","Private for-profit, 4-year or above"
"Northwest Institute of Literary Arts","Langley","Wash.","06/30/15","-0.9","Private not-for-profit, 4-year or above"
"Northwest Nazarene U.","Nampa","Idaho","06/30/15","3","Private not-for-profit, 4-year or above"
"Northwest School of Wooden Boat Building","Port Hadlock","Wash.","09/30/14","2.3","Private not-for-profit, 2-year"
"Northwest U. (Wash.)","Kirkland","Wash.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Northwestern College (Ill.)","Chicago","Ill.","07/31/14","1.9","Private for-profit, 2-year"
"Northwestern College (Iowa)","Orange City","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Northwestern Health Sciences U.","Bloomington","Minn.","08/31/14","3","Private not-for-profit, 4-year or above"
"Northwestern U.","Evanston","Ill.","08/31/14","3","Private not-for-profit, 4-year or above"
"Northwood U. (Mich.)","Midland","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Norwich U.","Northfield","Vt.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Nossi College of Art","Nashville","Tenn.","06/30/15","2.8","Private for-profit, 4-year or above"
"Notre Dame College (Ohio)","South Euclid","Ohio","06/30/15","1.6","Private not-for-profit, 4-year or above"
"Notre Dame de Namur U.","Belmont","Calif.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Notre Dame of Maryland U.","Baltimore","Md.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Notre Dame Seminary, Graduate School of Theology","New Orleans","La.","06/30/15","3","Private not-for-profit, 4-year or above"
"Nova Southeastern U.","Fort Lauderdale","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"O'More College of Design","Franklin","Tenn.","06/30/15","0.5","Private not-for-profit, 4-year or above"
"Oak Hills Christian College","Bemidji","Minn.","05/31/15","3","Private not-for-profit, 4-year or above"
"Oakland City U.","Oakland City","Ind.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Oakwood U.","Huntsville","Ala.","06/30/15","3","Private not-for-profit, 4-year or above"
"Oberlin College","Oberlin","Ohio","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Oblate School of Theology","San Antonio","Tex.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Occidental College","Los Angeles","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Oglethorpe U.","Atlanta","Ga.","06/30/15","3","Private not-for-profit, 4-year or above"
"Ohio Business College at Sheffield Village","Sheffield","Ohio","12/31/14","3","Private for-profit, 2-year"
"Ohio Christian U.","Circleville","Ohio","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Ohio College of Massotherapy","Akron","Ohio","12/31/14","2.7","Private not-for-profit, 2-year"
"Ohio Dominican U.","Columbus","Ohio","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Ohio Northern U.","Ada","Ohio","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Ohio Technical College","Cleveland","Ohio","12/31/14","2.2","Private for-profit, 2-year"
"Ohio Valley College of Technology","East Liverpool","Ohio","06/30/15","2.9","Private for-profit, 2-year"
"Ohio Valley U.","Vienna","W.Va.","06/30/15","-1","Private not-for-profit, 4-year or above"
"Ohio Wesleyan U.","Delaware","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Ohr Hameir Theological Seminary","Peekskill","N.Y.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Oklahoma Baptist U.","Shawnee","Okla.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Oklahoma Christian U.","Oklahoma City","Okla.","05/31/15","2.1","Private not-for-profit, 4-year or above"
"Oklahoma City U.","Oklahoma City","Okla.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Oklahoma Wesleyan U.","Bartlesville","Okla.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Olivet College","Olivet","Mich.","06/30/15","2","Private not-for-profit, 4-year or above"
"Olivet Nazarene U.","Bourbonnais","Ill.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Oral Roberts U.","Tulsa","Okla.","04/30/15","3","Private not-for-profit, 4-year or above"
"Oregon College of Art and Craft","Portland","Ore.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Oregon College of Oriental Medicine","Portland","Ore.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Orleans Technical Institute, Center City Campus","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 2-year"
"Otis College of Art and Design","Los Angeles","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Ottawa U. (Kan.)","Ottawa","Kans.","06/30/15","1","Private not-for-profit, 4-year or above"
"Otterbein U.","Westerville","Ohio","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Ouachita Baptist U.","Arkadelphia","Ark.","05/31/15","3","Private not-for-profit, 4-year or above"
"Our Lady of Holy Cross College","New Orleans","La.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Our Lady of the Lake College","Baton Rouge","La.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Our Lady of the Lake U.","San Antonio","Tex.","05/31/15","2.5","Private not-for-profit, 4-year or above"
"Oxford Graduate School","Dayton","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Ozark Christian College","Joplin","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Pace U.","New York","N.Y.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Pacific College","Costa Mesa","Calif.","12/31/14","3","Private for-profit, 4-year or above"
"Pacific College of Oriental Medicine (Calif.)","San Diego","Calif.","12/31/14","2.1","Private for-profit, 4-year or above"
"Pacific Islands U.","Mangilao","Guam","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Pacific Lutheran U.","Tacoma","Wash.","05/31/15","2","Private not-for-profit, 4-year or above"
"Pacific Northwest College of Art","Portland","Ore.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Pacific Northwest U. of Health Sciences","Yakima","Wash.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Pacific Oaks College","Pasadena","Calif.","05/31/15","3","Private not-for-profit, 4-year or above"
"Pacific School of Religion","Berkeley","Calif.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Pacific States U.","Los Angeles","Calif.","09/30/14","2.8","Private not-for-profit, 4-year or above"
