ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Baptist Theological Seminary at Richmond","Richmond","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Baptist U. of the Americas","San Antonio","Tex.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Barclay College","Haviland","Kans.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Bard College","Annandale-on-Hudson","N.Y.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Barnard College","New York","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Barry U.","Miami Shores","Fla.","06/30/15","3","Private not-for-profit, 4-year or above"
"Barton College","Wilson","N.C.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Bastyr U.","Kenmore","Wash.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Bates College","Lewiston","Maine","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Baton Rouge School of Computers","Baton Rouge","La.","12/31/14","3","Private for-profit, 2-year"
"Bay Path College","Longmeadow","Mass.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Bay State College","Boston","Mass.","06/30/15","1.6","Private for-profit, 4-year or above"
"Bayamon Central U.","Bayamon","P.R.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Baylor College of Medicine","Houston","Tex.","06/30/15","3","Private not-for-profit, 4-year or above"
"Baylor U.","Waco","Tex.","05/31/15","3","Private not-for-profit, 4-year or above"
"Be'er Yaakov Talmudic Seminary","Spring Valley","N.Y.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Beacon College","Leesburg","Fla.","06/30/15","0.9","Private not-for-profit, 4-year or above"
"Becker College at Worcester","Worcester","Mass.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Beckfield College at Florence","Florence","Ky.","12/31/14","1.7","Private for-profit, 4-year or above"
"Beis Medrash Heichal Dovid","Far Rockaway","N.Y.","08/31/14","2.1","Private not-for-profit, 4-year or above"
"Bel-Rea Institute of Animal Technology","Denver","Colo.","08/31/14","2.3","Private for-profit, 2-year"
"Belanger School of Nursing","Schenectady","N.Y.","12/31/14","2.2","Private not-for-profit, 2-year"
"Belhaven U.","Jackson","Miss.","06/30/15","3","Private not-for-profit, 4-year or above"
"Bellarmine U.","Louisville","Ky.","05/31/15","3","Private not-for-profit, 4-year or above"
"Bellevue U.","Bellevue","Nebr.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Bellin College","Green Bay","Wis.","06/30/15","3","Private not-for-profit, 4-year or above"
"Belmont Abbey College","Belmont","N.C.","05/31/15","1.6","Private not-for-profit, 4-year or above"
"Belmont U.","Nashville","Tenn.","05/31/15","3","Private not-for-profit, 4-year or above"
"Beloit College","Beloit","Wis.","05/31/15","3","Private not-for-profit, 4-year or above"
"Benedictine College","Atchison","Kans.","06/30/15","3","Private not-for-profit, 4-year or above"
"Benedictine U.","Lisle","Ill.","05/31/15","3","Private not-for-profit, 4-year or above"
"Bennett College","Greensboro","N.C.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Bennington College","Bennington","Vt.","06/30/15","2","Private not-for-profit, 4-year or above"
"Bentley U.","Waltham","Mass.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Berea College","Berea","Ky.","06/30/15","3","Private not-for-profit, 4-year or above"
"Bergin U. of Canine Studies","Rohnert Park","Calif.","09/30/14","2.6","Private not-for-profit, 4-year or above"
"Berkeley College at New York","New York","N.Y.","06/30/15","2.9","Private for-profit, 4-year or above"
"Berkeley College at Woodland Park","Woodland Park","N.J.","06/30/15","2.7","Private for-profit, 4-year or above"
"Berklee College of Music","Boston","Mass.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Berry College","Mount Berry","Ga.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Beth Hamedrash Shaarei Yosher Institute","Brooklyn","N.Y.","08/31/14","2.1","Private not-for-profit, 4-year or above"
"Beth Hatalmud Rabbinical College","Brooklyn","N.Y.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Beth Medrash Govoha","Lakewood","N.J.","03/31/15","3","Private not-for-profit, 4-year or above"
"Bethany College (Kan.)","Lindsborg","Kans.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Bethany College (W.Va.)","Bethany","W.Va.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Bethany Lutheran College","Mankato","Minn.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Bethany Theological Seminary","Richmond","Ind.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Bethel College (Ind.)","Mishawaka","Ind.","06/30/15","0.7","Private not-for-profit, 4-year or above"
"Bethel College (Kan.)","North Newton","Kans.","06/30/15","0.6","Private not-for-profit, 4-year or above"
"Bethel College (Va.)","Hampton","Va.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Bethel U. (Minn.)","Saint Paul","Minn.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Bethel U. (Tenn.)","McKenzie","Tenn.","07/31/14","1.4","Private not-for-profit, 4-year or above"
"Bethesda U. of California","Anaheim","Calif.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Bethune-Cookman U.","Daytona Beach","Fla.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Beulah Heights U.","Atlanta","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Bexley Hall Episcopal Seminary","Chicago","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Biblical Theological Seminary","Hatfield","Pa.","06/30/15","1","Private not-for-profit, 4-year or above"
"Bidwell Training Center","Pittsburgh","Pa.","06/30/15","2.8","Private not-for-profit, 2-year"
"Biola U.","La Mirada","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Birmingham-Southern College","Birmingham","Ala.","05/31/15","2","Private not-for-profit, 4-year or above"
"Birthingway College of Midwifery","Portland","Ore.","12/31/14","1.5","Private not-for-profit, 4-year or above"
"Blackburn College","Carlinville","Ill.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Blackfeet Community College","Browning","Mont.","06/30/15","2.4","Private not-for-profit, 2-year"
